"Name","Month","Sales","ExciseTax","County","Established","RetailerURLLink"
"187","TREEHOUSE CLUB","Jan-2016",338292,125168,"Spokane County","Retailer since Dec 2014","http://www.502data.com//license/413369"
"188","TREEHOUSE CLUB","All-2015",2590559,934453,"Spokane County","Retailer since Dec 2014","http://www.502data.com//license/413369"
"189","TREEHOUSE CLUB","All-2014",4976,1659,"Spokane County","Retailer since Dec 2014","http://www.502data.com//license/413369"
"190","SATORI","Sep-2016",628852,232675,"Spokane County","Retailer since Aug 2014","http://www.502data.com//license/414664"
"191","SATORI","Aug-2016",623457,230679,"Spokane County","Retailer since Aug 2014","http://www.502data.com//license/414664"
"192","SATORI","Jul-2016",602159,222799,"Spokane County","Retailer since Aug 2014","http://www.502data.com//license/414664"
"193","SATORI","Jun-2016",504987,186845,"Spokane County","Retailer since Aug 2014","http://www.502data.com//license/414664"
"194","SATORI","May-2016",521033,192782,"Spokane County","Retailer since Aug 2014","http://www.502data.com//license/414664"
"195","SATORI","Apr-2016",536718,198586,"Spokane County","Retailer since Aug 2014","http://www.502data.com//license/414664"
"196","SATORI","Mar-2016",573048,212028,"Spokane County","Retailer since Aug 2014","http://www.502data.com//license/414664"
"197","SATORI","Feb-2016",574060,212402,"Spokane County","Retailer since Aug 2014","http://www.502data.com//license/414664"
"198","SATORI","Jan-2016",511829,189377,"Spokane County","Retailer since Aug 2014","http://www.502data.com//license/414664"
"199","SATORI","All-2015",4952732,1763732,"Spokane County","Retailer since Aug 2014","http://www.502data.com//license/414664"
"200","SATORI","All-2014",674459,224820,"Spokane County","Retailer since Aug 2014","http://www.502data.com//license/414664"
"201","THE STASH BOX","Sep-2016",626512,231809,"King County","Retailer since Nov 2014","http://www.502data.com//license/412494"
"202","THE STASH BOX","Aug-2016",578149,213915,"King County","Retailer since Nov 2014","http://www.502data.com//license/412494"
"203","THE STASH BOX","Jul-2016",543333,201033,"King County","Retailer since Nov 2014","http://www.502data.com//license/412494"
"204","THE STASH BOX","Jun-2016",480439,177762,"King County","Retailer since Nov 2014","http://www.502data.com//license/412494"
"205","THE STASH BOX","May-2016",485025,179459,"King County","Retailer since Nov 2014","http://www.502data.com//license/412494"
"206","THE STASH BOX","Apr-2016",524522,194073,"King County","Retailer since Nov 2014","http://www.502data.com//license/412494"
"207","THE STASH BOX","Mar-2016",601350,222500,"King County","Retailer since Nov 2014","http://www.502data.com//license/412494"
"208","THE STASH BOX","Feb-2016",592922,219381,"King County","Retailer since Nov 2014","http://www.502data.com//license/412494"
"209","THE STASH BOX","Jan-2016",569010,210534,"King County","Retailer since Nov 2014","http://www.502data.com//license/412494"
"210","THE STASH BOX","All-2015",3805312,1370984,"King County","Retailer since Nov 2014","http://www.502data.com//license/412494"
"211","THE STASH BOX","All-2014",56703,18901,"King County","Retailer since Nov 2014","http://www.502data.com//license/412494"
"212","CINDER","Sep-2016",621364,229905,"Spokane County","Retailer since Oct 2014","http://www.502data.com//license/414817"
